------------------------------------------------------------
 Force Displacement Plot
------------------------------------------------------------
Displacement, Force
                   0,              113.389
             0.18434,              110.809
             0.36868,              118.091
             0.55301,              216.246
             0.73735,              204.623
             0.92169,              238.928
             1.10603,              515.816
             1.29036,              488.538
              1.4747,              632.241
             1.65904,              673.133
             1.84338,              861.295
             2.02771,              899.416
             2.21205,               916.62
             2.39639,              918.729
             2.58073,              855.585
             2.76507,              1082.52
              2.9494,              980.521
             3.13374,              981.722
             3.31808,              1050.47
             3.50242,              1091.56
             3.68675,              1044.02
             3.87109,              1130.34
             4.05543,              1113.54
             4.23977,              1260.68
             4.42411,              1238.51
             4.60844,              1292.39
             4.79278,              1332.96
             4.97712,              1465.29
             5.16146,              1495.84
             5.34579,              1514.69
             5.53013,              1497.13
             5.71447,              1594.36
             5.89881,              1687.97
             6.08315,              1659.03
             6.26748,               1658.6
             6.45182,              1616.97
             6.63616,              1661.07
              6.8205,              1593.95
             7.00483,               1515.3
             7.18917,              1522.83
             7.37351,              1648.77
             7.55785,                 1574
             7.74218,              1551.14
             7.92652,              1559.51
             8.11086,              1596.62
              8.2952,              1606.66
             8.47954,              1746.15
             8.66387,              1806.64

             9.03255,              1684.81
             9.21689,              1669.95
             9.40122,              1726.93
             9.58556,              1903.65
              9.7699,              2136.64
             9.95424,              2088.16
             10.1386,              2003.54
             10.3229,              2094.02
             10.5073,              2170.06
             10.6916,              2327.42
             10.8759,               2227.6
             11.0603,              2366.02
             11.2446,              2378.18
             11.4289,               2423.6
             11.6133,              2415.32
             11.7976,              2493.08
             11.9819,              2482.41
             12.1663,              2675.24
             12.3506,              2658.06
              12.535,                 2841
             12.7193,              2805.36
             12.9036,              2926.38
              13.088,               2946.7
             13.2723,              2908.95
             13.4566,              3014.29
              13.641,              2941.81
             13.8253,              2898.78
             14.0097,              2854.26
              14.194,              2856.44
             14.3783,              2895.81
             14.5627,              2946.52
              14.747,              2975.92
             14.9314,              2927.82
             15.1157,              2945.92
                15.3,              2930.23
             15.4844,              3061.52
             15.6687,              3120.03
              15.853,              3271.34
             16.0374,              3310.27
             16.2217,              3344.36
             16.4061,               3427.3
             16.5904,              3468.76
             16.7747,              3532.25
             16.9591,               3465.2
             17.1434,              3492.67
             17.3278,              3464.97
             17.5121,              3500.71
             17.6964,              3618.11
             17.8808,              3641.98
             18.0651,              3716.82
             18.2494,               3662.3
             18.4338,               3760.8
             18.6181,              3930.28
             18.8025,              4013.76
             18.9868,              3997.56
             19.1711,              3995.52
             19.3555,              4006.16
             19.5398,              4122.98
             19.7241,              4361.65
             19.9085,              4335.76
             20.0928,              4272.34
             20.2771,              4180.83
             20.4615,              4286.41
             20.6458,              4328.06
             20.8302,               4406.4
             21.0145,              4506.72
             21.1988,              4687.99
             21.3832,              4805.22
             21.5675,               4674.6
             21.7519,              4810.04
             21.9362,              4852.56
             22.1205,              4858.28
             22.3049,              4966.27
             22.4892,              5038.83
             22.6735,              5087.88
             22.8579,               5139.5
             23.0422,              5179.36
             23.2265,              5122.29
             23.4109,              5107.14
             23.5952,              5142.93
             23.7796,              5128.14
             23.9639,              5320.29
             24.1482,              5331.34
             24.3326,              5344.02
             24.5169,              5424.47
